Field_name,Field_locator_name,Field_locator_value
utilities_expiration_date,xpath,"//android.widget.EditText[@text=', Expiration date']"
utilities_cvc,xpath,"//android.widget.EditText[@text=', CVC']"
utilities_postal_code,xpath,//android.widget.EditText[@text='Postal code']
utilities_phone_number,xpath,//android.view.ViewGroup/android.widget.EditText[1]
utilities_back_btn,xpath,"//android.widget.Button[@content-desc=""Manage payments, back""]"
utilities_account_holder_name,xpath,//android.widget.EditText[2]
utilities_routing_no,xpath,//android.widget.EditText[3]
utilities_account_no,xpath,//android.widget.EditText[4]
utilities_zip_code,xpath,//android.widget.EditText[5]
utilities_city,xpath,//android.widget.EditText[4]
utilities_select_state,xpath,//android.widget.TextView[@text='Select a state']
utilities_state_name,xpath,//android.widget.CheckedTextView[@text='Alabama']
utilities_add_line_one,xpath,//android.view.ViewGroup/android.widget.EditText[3] 
utilities_add_line_two,xpath,//android.view.ViewGroup/android.widget.EditText[4]
utilities_save_as,xpath,//android.widget.EditText[1]
utilities_check_box,xpath,//android.view.ViewGroup[3]/android.widget.ImageView
utilities_save_as_two,xpath,//android.widget.TextView[@text='Save']
utilities_account_holder_type,xpath,//android.widget.Spinner/android.widget.TextView
utilities_holder_type_name,xpath,//android.widget.CheckedTextView[@text='Individual']
utilities_account_holder_name_valid_msg,xpath,//android.widget.TextView[@text='Invalid name'] 
utilities_routing_no_valid_msg,xpath,//android.widget.TextView[@text='Routing number should be 9 digit number'] 
utilities_account_no_valid_msg,xpath,//android.widget.TextView[@text='Invalid account number']
utilities_zip_code_valid_msg,xpath,//android.widget.TextView[@text='Invalid zipcode']
utilities_save_as_valid_msg,xpath,//android.widget.TextView[2][@text='Field required']
utilities_phone_no_valid_msg,xpath,//android.widget.TextView[5][@text='Phone number required']
utilities_add_line_one_valid_msg,xpath,//android.view.ViewGroup[4]/android.widget.TextView[2]
utilities_state_valid_msg,xpath,//android.view.ViewGroup[4]/android.widget.TextView[2]
utilities_city_valid_msg,xpath,//android.widget.TextView[7][@text='Field required']
utilities_redeem_points_button,xpath,//android.widget.TextView[@text='Redeem Points']
utilities_account_holder_title,xpath,//android.view.ViewGroup/android.widget.TextView[3]
utilities_acc_no_title,xpath,//android.widget.TextView[@text='Account number']
utilities_manage_back,xpath,"//android.widget.Button[@content-desc=""UtilitiesDashboardActivity, back""]"
utilities_account_holder_name_valid_msg_two,xpath,//android.widget.TextView[@text='Full name required']
utilities_routing_no_valid_msg_two,xpath,//android.widget.TextView[@text='Required']
utilities_account_no_valid_msg_two,xpath,//android.widget.TextView[@text='Required']
utilities_save_as_valid_msg_two,xpath,//android.widget.TextView[@text='Required']
home_assert,xpath,//android.widget.TextView[@text='Be assured of your healthcare decisions']
services_assert,xpath,//android.widget.TextView[@text='Healthcare Records']
circles_assert,xpath,//android.widget.TextView[@text='Partners in your care']
utilities_settingsassert,xpath,//android.view.View[@text='Award points']
utilities_addbankassert,xpath,//android.widget.TextView[@text='Deactivate']
utilities_deactivateassert,xpath,//android.view.View[@text='Add bank account']
home,xpath,//android.widget.TextView[@text='Home']
circles,xpath,//android.widget.TextView[@text='Circles']
utilities_idcard,xpath,//android.view.ViewGroup[3]//android.widget.ImageView
utilities_idcard_ok,xpath,//android.widget.TextView[@text='OK']
utilities_settings,xpath,//android.view.ViewGroup[4]//android.widget.ImageView
utilities_upload_ok,xpath,//android.widget.TextView[@text='OK']
utilities_back,xpath,//android.view.ViewGroup[1]/android.view.ViewGroup/android.widget.Button
utilities_walletplus,xpath,//android.view.ViewGroup[3]/android.widget.ImageView[1]
awardpoints_redeem_button,xpath,//android.view.ViewGroup[2]/android.widget.ScrollView[1]/android.view.ViewGroup[1]/android.view.ViewGroup/android.view.ViewGroup
redeem_points_giftcard,xpath,//android.view.ViewGroup[3]/android.widget.TextView
amount_valid_msg,xpath,//android.widget.TextView[7]
redeem_points_to_redeem,xpath,//android.widget.TextView[@text='Award points to redeem']
redeem_points,xpath,//android.view.ViewGroup[6]
award_points_history_title,xpath,//android.widget.TextView[@text='Your award points history']
award_points_availableassert,xpath,//android.widget.ScrollView/android.view.ViewGroup/android.widget.TextView[1]
award_points_redeemassert,xpath,//android.view.ViewGroup/android.widget.TextView[6]
redeem_points_amount,xpath,//android.view.ViewGroup/android.widget.EditText
redeem_award_points_title,xpath,//android.view.View[@text='Redeem award points']
award_points_redeemed_titleassert,xpath,//android.view.View[@text='Redeemed']
award_points_redeem_pointsassert,xpath,//android.widget.TextView[@text='2000 Mpowered Award Points redeemed!']
award_points_redeempage_availedassert,xpath,//android.widget.TextView[@text='You have availed this gift card']
award_points_goto_dashboard,xpath,//android.widget.TextView[@text='Go to Award Points Dashboard']
circles,xpath,//android.widget.Button[3]/android.widget.ImageView
circles_title,xpath,//android.view.ViewGroup[1]/android.view.ViewGroup[1]/android.view.ViewGroup[2]/android.widget.TextView
circles_add_partner_button,xpath,//android.view.ViewGroup[2]/android.view.ViewGroup[1]/android.view.ViewGroup/android.widget.TextView
circles_add_patner_title,xpath,//android.view.ViewGroup[1]/android.view.ViewGroup/android.widget.TextView
circles_add_partner_dropdown,xpath,//android.widget.TextView[2]
circles_mymedicare_option,xpath,//android.view.ViewGroup[2]/android.view.ViewGroup[2]//android.widget.TextView
circles_proceed_button,xpath,//android.view.ViewGroup[2]/android.view.ViewGroup[2]
circles_mymedicare_title,xpath,//android.view.View[2]/android.view.View[1]/android.view.View/android.widget.TextView[1]
circles_forgot_username_link,xpath,//android.view.View[3]//android.widget.TextView
circles_forgot_username_title,xpath,//android.view.View[1]/android.view.View[1][@text='Get username']
circles_forgot_password_link,xpath,//android.view.View[4]//android.widget.TextView
circles_forgot_password_title,xpath,//android.view.View[2]/android.view.View[1]/android.view.View/android.view.View[2]
circles_mymedicare_username,xpath,//android.view.View[3]//android.widget.EditText
circles_mymedicare_password,xpath,//android.view.View[1]/android.view.View/android.widget.EditText
circles_mymedicare_eye,xpath,//android.view.View[1]/android.view.View/android.widget.Button
circles_mymedicare_login_button,xpath,//android.view.View[2]/android.view.View/android.widget.Button
circles_mymedicare_allow_button,xpath,//android.widget.Button[1][@text='Allow']
circles_mymedicare_button,xpath,//android.view.ViewGroup[2]/android.widget.TextView[@text='My Medicare']
circles_mymedicare_back_arrow,xpath,//android.widget.Button[1]/android.widget.ImageView
circles_mymedicare_img_icon,xpath,//android.view.ViewGroup[2]/android.view.ViewGroup/android.widget.ImageView
circles_mymedicare_username_valid_msg,xpath,//android.view.View[2]//android.view.View[3]
circles_mymedicare_password_valid_msg,xpath,//android.view.View[3]/android.view.View[1]/android.view.View/android.view.View[3]
circles_mymedicare_error_msg,xpath,//android.view.View/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.view.View[1]/android.view.View[3]/android.view.View
circles_add_patner_back_arrow,xpath,//android.widget.Button[1]/android.widget.ImageView
circles_proceed_button_after_selection,xpath,//android.view.ViewGroup[2]/android.view.ViewGroup[2]
home_third_tile,xpath,//android.view.ViewGroup[3]/android.view.ViewGroup/android.widget.ImageView
home_second_tile,xpath,//android.view.ViewGroup[2]/android.view.ViewGroup/android.widget.ImageView
home_first_tile,xpath,//android.view.ViewGroup[1]/android.view.ViewGroup/android.widget.ImageView
home_dashboard_back_arrow,xpath,"//android.widget.Button[@content-desc=""HomeDashboardActivity, back""]"
home_grid_tile,xpath,//android.view.ViewGroup[2]/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]
home_so_button,xpath,//android.view.ViewGroup/android.widget.TextView[@text='Second Opinion']
home_refer_button,xpath,//android.view.ViewGroup/android.widget.TextView[@text='Refer a Friend']
refer_frnd_refer_code,xpath,//android.widget.TextView[1][@text='Your referral code']
services,xpath,//android.widget.Button[2]/android.widget.TextView[1]
so_resume_case,xpath,//android.view.ViewGroup[1]/android.view.ViewGroup/android.widget.TextView[2]
so_switch_ok_button,xpath,//android.view.ViewGroup[1]/android.view.ViewGroup/android.widget.TextView
so_resume_case_title,xpath,//android.widget.ScrollView/android.view.ViewGroup[1]/android.view.ViewGroup[1]//android.widget.TextView[1]
so_requested_tab,xpath,//android.view.ViewGroup/android.view.ViewGroup/android.view.ViewGroup[3]
so_requested_msg,xpath,//android.widget.ScrollView//android.widget.TextView
so_reviewed_tab,xpath,//android.view.ViewGroup[4]
so_reviewed_msg,xpath,//android.widget.ScrollView//android.widget.TextView
bills_total_bills_due,xpath,//android.widget.TextView[@text='Total bills due']
bills_oldest,xpath,//android.widget.TextView[@text='Oldest']
bills_paid,xpath,//android.widget.TextView[@text='Paid']
bills_paid_assert,xpath,//android.widget.TextView[@text='You have not paid any bills yet']
bills_due,xpath,//android.widget.TextView[@text='Due']
bills_due_assert,xpath,//android.widget.TextView[@text='Hooray! You have no bills due']
bills_slide,xpath,//android.widget.TextView[@text='$0']
bills_payabill_assert,xpath,//android.widget.TextView[@text='Pay a bill to get started']
bills_gotohome,xpath,//android.widget.TextView[@text='Go to Home']
bills_slide_dot,xpath,//android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[2]
